+-----------------+-----------------+---------+-----------+
|      Src IP     |     Src Port    | Dest IP | Dest Port |
+-----------------+-----------------+---------+-----------+
| 192.168.252.128 |  52.84.108.210  |  39977  |     80    |
| 192.168.252.128 |  52.84.108.210  |  39978  |     80    |
| 192.168.252.128 |  52.84.108.210  |  39977  |     80    |
| 192.168.252.128 |  52.84.108.210  |  39978  |     80    |
| 192.168.252.128 |  52.84.108.210  |  39977  |     80    |
| 192.168.252.128 |  52.84.108.210  |  39978  |     80    |
| 192.168.252.128 |   54.239.32.8   |  54330  |     80    |
| 192.168.252.128 |   54.239.32.8   |  54331  |     80    |
| 192.168.252.128 |  54.239.39.114  |  54741  |     80    |
| 192.168.252.128 |  54.239.39.114  |  54742  |     80    |
|   54.239.32.8   | 192.168.252.128 |    80   |   54330   |
| 192.168.252.128 |   54.239.32.8   |  54330  |     80    |
| 192.168.252.128 |   54.239.32.8   |  54330  |     80    |
|   54.239.32.8   | 192.168.252.128 |    80   |   54330   |
|   54.239.32.8   | 192.168.252.128 |    80   |   54331   |
| 192.168.252.128 |   54.239.32.8   |  54331  |     80    |
|  54.239.39.114  | 192.168.252.128 |    80   |   54742   |
| 192.168.252.128 |  54.239.39.114  |  54742  |     80    |
|  54.239.39.114  | 192.168.252.128 |    80   |   54741   |
| 192.168.252.128 |  54.239.39.114  |  54741  |     80    |
| 192.168.252.128 |  54.239.39.114  |  54741  |     80    |
| 192.168.252.128 |  54.239.39.114  |  54743  |     80    |
|  54.239.39.114  | 192.168.252.128 |    80   |   54741   |
| 192.168.252.128 |  52.84.108.210  |  39984  |     80    |
|  54.239.39.114  | 192.168.252.128 |    80   |   54743   |
| 192.168.252.128 |  54.239.39.114  |  54743  |     80    |
| 192.168.252.128 |  52.84.108.210  |  39985  |     80    |
|  54.239.39.114  | 192.168.252.128 |    80   |   54741   |
| 192.168.252.128 |  54.239.39.114  |  54741  |     80    |
|   54.239.32.8   | 192.168.252.128 |    80   |   54330   |
| 192.168.252.128 |   54.239.32.8   |  54330  |     80    |
|   54.239.32.8   | 192.168.252.128 |    80   |   54330   |
| 192.168.252.128 |   54.239.32.8   |  54330  |     80    |
|   54.239.32.8   | 192.168.252.128 |    80   |   54330   |
| 192.168.252.128 |   54.239.32.8   |  54330  |     80    |
|   54.239.32.8   | 192.168.252.128 |    80   |   54330   |
| 192.168.252.128 |   54.239.32.8   |  54330  |     80    |
| 192.168.252.128 |   52.84.108.71  |  60366  |     80    |
| 192.168.252.128 |   52.84.108.71  |  60367  |     80    |
| 192.168.252.128 |   52.84.108.71  |  60368  |     80    |
| 192.168.252.128 |   52.84.108.71  |  60369  |     80    |
|   54.239.32.8   | 192.168.252.128 |    80   |   54330   |
| 192.168.252.128 |   54.239.32.8   |  54330  |     80    |
|   54.239.32.8   | 192.168.252.128 |    80   |   54330   |
| 192.168.252.128 |   54.239.32.8   |  54330  |     80    |
|   54.239.32.8   | 192.168.252.128 |    80   |   54330   |
| 192.168.252.128 |   54.239.32.8   |  54330  |     80    |
|   54.239.32.8   | 192.168.252.128 |    80   |   54330   |
| 192.168.252.128 |   54.239.32.8   |  54330  |     80    |
|   52.84.108.71  | 192.168.252.128 |    80   |   60368   |
| 192.168.252.128 |   52.84.108.71  |  60368  |     80    |
|   52.84.108.71  | 192.168.252.128 |    80   |   60367   |
| 192.168.252.128 |   52.84.108.71  |  60367  |     80    |
|   52.84.108.71  | 192.168.252.128 |    80   |   60366   |
| 192.168.252.128 |   52.84.108.71  |  60366  |     80    |
|   52.84.108.71  | 192.168.252.128 |    80   |   60369   |
| 192.168.252.128 |   52.84.108.71  |  60369  |     80    |
|   54.239.32.8   | 192.168.252.128 |    80   |   54330   |
| 192.168.252.128 |   54.239.32.8   |  54330  |     80    |
|   54.239.32.8   | 192.168.252.128 |    80   |   54330   |
| 192.168.252.128 |   54.239.32.8   |  54330  |     80    |
|   54.239.32.8   | 192.168.252.128 |    80   |   54330   |
| 192.168.252.128 |   54.239.32.8   |  54330  |     80    |
|   54.239.32.8   | 192.168.252.128 |    80   |   54330   |
| 192.168.252.128 |   54.239.32.8   |  54330  |     80    |
|   54.239.32.8   | 192.168.252.128 |    80   |   54330   |
| 192.168.252.128 |   54.239.32.8   |  54330  |     80    |
|   54.239.32.8   | 192.168.252.128 |    80   |   54330   |
| 192.168.252.128 |   54.239.32.8   |  54330  |     80    |
